guess,ev,max guesses,pass,time
joins,3.73305,5,0,267.22506
joyed,3.78834,5,0,79.29591
juked,3.86695,5,0,106.81875
jumps,3.86782,5,0,159.53077
juror,3.86695,5,0,353.89464
kills,3.78531,5,0,325.17334
knave,3.73477,5,0,36.78382
knead,3.68855,5,0,48.23358
kneed,3.77624,5,0,63.93318
knelt,3.66307,5,0,44.13906
knobs,3.74039,5,0,111.54315
label,3.71793,5,0,30.09731
labor,3.59525,5,0,27.74326
lacks,3.67905,5,0,58.70261
lamps,3.65227,5,0,43.35832
lased,3.59395,5,0,12.50651
lasts,3.71361,5,0,116.58555
leant,3.52916,5,0,22.80770
lease,3.62981,5,0,45.73628
lefty,3.69460,5,0,131.91524
liens,3.60605,5,0,55.80878
liken,3.65875,5,0,49.38140
lilac,3.73564,5,0,229.89732
livid,3.82721,5,0,292.80652
loops,3.73434,5,0,142.98431
loses,3.72441,5,0,62.53338
lover,3.66177,5,0,40.33878
lowed,3.64665,5,0,38.98861
lucky,3.76458,5,0,234.00443
lured,3.59827,5,0,29.32006
lurer,3.71102,5,0,49.54326
luted,3.58834,5,0,24.17183
lying,3.68294,5,0,218.33161
mains,3.61987,5,0,71.75030
malls,3.72009,5,0,151.95054
manic,3.65745,5,0,95.76201
march,3.62894,5,0,42.15601
marry,3.74600,5,0,71.05793
mated,3.60994,5,0,14.15653
mater,3.57495,5,0,11.71628
matey,3.64320,5,0,16.55947
mauve,3.73089,5,0,50.98855
maybe,3.68553,5,0,28.77146
mazer,3.74989,5,0,33.29800
meant,3.56933,5,0,23.92404
mecca,3.79006,5,0,111.94370
melon,3.60950,5,0,65.17805
merit,3.57538,5,0,18.27155
messy,3.81382,5,0,191.00198
milky,3.73823,5,0,456.03593
mixer,3.72743,5,0,177.15573
model,3.59870,5,0,73.59796
moldy,3.65745,5,0,249.64639
moper,3.60821,5,0,30.90236
moral,3.58790,5,0,55.39061
morse,3.56285,5,0,32.64392
motel,3.56890,5,0,20.41484
motor,3.69114,5,0,84.99858
mound,3.67171,5,0,223.89574
mover,3.68423,5,0,59.77328
mucky,3.80691,5,0,216.28459
mured,3.61382,5,0,61.71440
muser,3.62419,5,0,33.34926
musty,3.69503,5,0,191.85403
naive,3.65702,5,0,30.05751
names,3.62505,5,0,10.16991
nanny,3.92743,5,0,427.21049
niter,3.56674,5,0,19.43101
nixed,3.75680,5,0,101.42059
nomad,3.65918,5,0,100.34387
nosed,3.61425,5,0,19.32343
nosey,3.63326,5,0,25.83658
nudes,3.64320,5,0,36.11821
nukes,3.70929,5,0,51.31232
nylon,3.78963,5,0,461.50908
oiler,3.59914,5,0,43.20648
ombre,3.66393,5,0,36.08662
onset,3.58056,5,0,10.46281
oohed,3.76199,5,0,91.72171
opera,3.66782,5,0,18.13182
opium,3.75205,5,0,140.82422
outdo,3.79438,5,0,327.86670
pagan,3.76242,5,0,151.92382
panda,3.74514,5,0,137.76375
party,3.59482,5,0,30.18709
paths,3.65356,5,0,49.99253
pause,3.60648,5,0,39.28915
payer,3.62592,5,0,20.90448
pearl,3.55680,5,0,19.09969
pecan,3.60562,5,0,38.61447
penny,3.78963,5,0,136.22498
photo,3.77883,5,0,165.80132
piles,3.58963,5,0,23.59462
pined,3.60043,5,0,33.44453
pinto,3.63629,5,0,80.38968
piper,3.72181,5,0,93.21299
pixie,3.89417,5,0,278.96220
plume,3.63283,5,0,54.17749
plump,3.82246,5,0,226.91790
porer,3.67559,5,0,52.46341
poser,3.58013,5,0,12.46300
posse,3.71836,5,0,79.21991
pouts,3.62592,5,0,68.54553
poxed,3.75508,5,0,64.38484
prima,3.63153,5,0,61.15031
prism,3.61814,5,0,49.00006
prone,3.56285,5,0,18.26429
proof,3.78056,5,0,178.58270
pulls,3.76458,5,0,256.03291
purge,3.63542,5,0,36.69091
purse,3.58704,5,0,18.28239
pushy,3.71793,5,0,257.77940
qualm,3.79914,5,0,262.55791
quell,3.92613,5,0,377.27245
quite,3.75853,5,0,161.51963
quoth,3.80605,5,0,432.40564
raspy,3.63024,5,0,28.45981
raven,3.62808,5,0,19.85450
rayed,3.60691,5,0,20.00022
razed,3.71102,5,0,23.36191
reads,3.57149,5,0,10.93254
reaps,3.58704,5,0,10.02814
rearm,3.70756,5,0,40.87596
recur,3.73045,5,0,69.39811
reked,3.73564,5,0,97.83530
rerun,3.71749,5,0,77.17457
rewed,3.71058,5,0,54.99390
rider,3.67041,5,0,132.09004
ripen,3.56674,5,0,23.43903
risen,3.56458,5,0,11.79001
riser,3.69546,5,0,74.05080
rival,3.66566,5,0,40.25743
river,3.75940,5,0,140.29163
rooms,3.73780,5,0,164.48056
roved,3.66911,5,0,54.35179
rower,3.75076,5,0,78.44169
ruled,3.59222,5,0,27.50598
ruler,3.70626,5,0,48.81850
runed,3.58143,5,0,35.06651
rupee,3.67300,5,0,61.75668
saber,3.57322,5,0,10.33420
sadly,3.61771,5,0,98.67544
salon,3.54816,5,0,40.33596
salve,3.61469,5,0,11.80145
salvo,3.67559,5,0,29.43861
samba,3.77451,5,0,114.71103
sated,3.56760,5,0,11.20330
sauce,3.58661,5,0,46.86493
saute,3.54860,5,0,25.12061
savor,3.63888,5,0,22.80675
savvy,3.86220,5,0,144.79042
scary,3.62246,5,0,41.60668
scoff,3.82289,5,0,196.47296
seams,3.74816,5,0,115.69602
seize,3.79741,5,0,161.11678
sepia,3.62592,5,0,39.11704
serve,3.71447,5,0,62.96890
sexes,3.95378,5,0,176.38227
shave,3.66436,5,0,25.10400
sheep,3.71317,5,0,41.56921
shelf,3.67257,5,0,80.09555
ships,3.76156,5,0,278.47152
shove,3.69719,5,0,95.01085
shred,3.60259,5,0,11.42078
shrub,3.68769,5,0,128.98039
shyly,3.83413,5,0,331.16351
silva,3.67084,5,0,68.04180
since,3.55680,5,0,36.20849
sinew,3.62635,5,0,32.01600
